SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
4U 1624-490,40014027001,B,Norma_MOS027,3.10980E+04,249.161,-47.0089,168.1171,0,Y,"Corner, prob GX 340+0?"
4U 1624-490,40014028002,B,Norma_MOS028,2.97701E+04,249.0277,-47.1639,168.1544,0,Y,"Corner, prob GX 340+0?"
4U 1624-490,40014029001,B,Norma_MOS029,2.94451E+04,249.9367,-46.8983,168.259,0,Y,"Corner, prob GX 340+0?"
4U 1624-490,40014030001,B,Norma_MOS030,2.81260E+04,250.2174,-46.7178,168.305,1,Y,Corner SL
4U 1624-490,40014031001,B,Norma_MOS031,3.03040E+04,250.5222,-46.7772,168.3521,1,Y,Corner SL
4U 1624-490,40014032001,B,Norma_MOS032,3.13452E+04,250.4317,-46.7895,168.4181,2,Y,Cornerl SL
4U 1624-490,40014033002,B,Norma_MOS033,3.18056E+04,250.4849,-46.6648,168.2038,0,Y,Corner SL
4U 1624-490,40014034001,B,Norma_MOS034,3.17822E+04,250.2701,-46.8264,168.1849,1,Y,Corner SL on A and a little sliver on A
4U 1624-490,40014035001,B,Norma_MOS035,3.98643E+04,250.0454,-46.8713,168.1523,0,Y,"GX 340+0 on A, corner on B"
4U 1624-490,90201028002,A,1E161348m5055,6.59376E+04,244.4001,-51.07,296.8672,0,Y,"Strong, Unident SL?"
4U 1624-490,90201028002,B,1E161348m5055,6.59376E+04,244.4001,-51.07,296.8672,0,Y,Strong unident SL
4U 1624-490,90301322001,B,MAXI_J1621m501,1.94638E+04,245.0179,-50.024,14.9156,2,Y,Strong source +FPMB SL
4U 1630-47,30002021036,B,HESSJ1640m465,3.25131E+04,250.2188,-46.5017,154.4146,1,Y,Strong SL
4U 1630-47,30002021038,B,HESSJ1640m465,3.20893E+04,250.216,-46.5121,165.6686,1,Y,Strong SL
4U 1630-47,30402027002,A,IGR_J16418m4532,1.98538E+04,250.4202,-45.5614,352.6044,1,N,Strong SL (?? on FPMB)
4U 1630-47,30402027004,A,IGR_J16418m4532,3.10192E+04,250.4093,-45.5596,356.4193,0,N,Strong SL (multiple)
4U 1630-47,40401004002,A,HESS_J1641m463,1.00699E+05,250.1692,-46.3453,357.8274,0,N,"Multiple SL, overlapping"
4U 1636-536,30161006002,A,IGRJ16181m5407,5.88599E+04,244.5719,-54.064,141.9675,0,Y,Corner SL in both
4U 1636-536,30161006002,B,IGRJ16181m5407,5.88599E+04,244.5719,-54.064,141.9675,0,Y,Corner SL in both
4U 1700-377,30001130002,A,CXOUJ171405d7m381031,8.12703E+04,258.5586,-38.1618,181.5737,0,Y,Multiple overlapping sources
4U 1700-377,30001130002,B,CXOUJ171405d7m381031,8.12703E+04,258.5586,-38.1618,181.5737,0,Y,Multiple overlapping sources
4U 1700-377,30401023002,B,1RXS_J170849d0m40091,9.35009E+04,257.1746,-40.1776,335.8104,1,N,Strong SL
4U 1700-377,40111001002,B,RXJ1713d7m3946_NW_P1,4.95966E+04,257.8546,-39.5209,343.286,1,Y,Strong SL
4U 1700-377,40111002002,A,RXJ1713d7m3946_NW_P2,5.73573E+04,257.9298,-39.5749,165.5761,0,Y,Multiple (extended source)
4U 1700-377,40111002002,B,RXJ1713d7m3946_NW_P2,5.73573E+04,257.9298,-39.5749,165.5761,0,Y,Multiple
4U 1700-377,40201001002,A,G346d6m0d2,6.27757E+04,257.5584,-40.1979,148.4452,0,Y,Multiple
4U 1700-377,80001041002,B,IGRJ17091m3624,4.32934E+04,257.3146,-36.3924,159.0663,1,Y,SL on both (second?)
4U 1700-377,80001041002,A,IGRJ17091m3624,4.32934E+04,257.3146,-36.3924,159.0663,0,N,"SL on both, punch through for 4U 1700 on A?"
4U 1700-377,80202015002,B,IGRJ17091m3624,3.91127E+04,257.3053,-36.3782,176.0979,2,Y,Strong SL
4U 1700-377,90601310002,A,SwiftJ170800m402551,4.13335E+04,257.0296,-40.4008,164.5562,0,N,SL in both
4U 1700-377,90601310002,B,SwiftJ170800m402551,4.13335E+04,257.0296,-40.4008,164.5562,0,N,Multiple SL
4U 1702-429,30102054002,A,IGR_J16493m4348,2.26287E+04,252.3172,-43.8441,335.0416,0,Y,Strong SL (multiple)
4U 1702-429,30102054004,A,IGR_J16493m4348,3.12284E+04,252.3124,-43.8455,338.8186,1,Y,Multiple SL sources
4U 1702-429,30102054006,A,IGR_J16493m4348,2.15611E+04,252.3469,-43.8361,342.8928,1,Y,Multiple SL sources
4U 1702-429,30102054006,B,IGR_J16493m4348,2.15611E+04,252.3469,-43.8361,342.8928,1,Y,Multiple sources
4U 1702-429,30401017002,B,PSR_J1709m4429,4.31347E+04,257.4219,-44.5206,314.9067,0,Y,GR + weak GR
4U 1702-429,30401019002,A,OAO_1657m415,7.47602E+04,255.2358,-41.6722,259.1556,0,N,Overlaping with 4U 1705-440
4U 1702-429,30460005002,A,IGR_J17195m4100,2.95364E+04,259.8461,-41.0339,353.0336,2,Y,Moderate SL
4U 1702-429,40201001002,B,G346d6m0d2,6.27757E+04,257.5584,-40.1979,148.4452,0,Y,"SL on both, multiple overlapping on B"
4U 1702-429,90301322001,A,MAXI_J1621m501,1.94638E+04,245.0179,-50.024,14.9156,0,N,PSF Bleed
4U 1702-429,90601310002,B,SwiftJ170800m402551,4.13335E+04,257.0296,-40.4008,164.5562,0,N,Multiple SL
4U 1705-44,30102054002,B,IGR_J16493m4348,2.26287E+04,252.3172,-43.8441,335.0416,0,Y,Corner SL
4U 1705-44,30102054004,A,IGR_J16493m4348,3.12284E+04,252.3124,-43.8455,338.8186,1,Y,Multiple SL sources
4U 1705-44,30102054006,A,IGR_J16493m4348,2.15611E+04,252.3469,-43.8361,342.8928,1,Y,Multiple SL sources
