SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
Crab,10502007002,B,Crab_sl_B01_PA333,4.41694E+03,84.5229,20.3082,332.5916,NA,N,Crab SL
Crab,10502010001,A,Crab_sl_PA150,1.92309E+04,85.4526,22.9182,148.9572,,N,Crab SL
Crab,10502010001,B,Crab_sl_PA150,1.92309E+04,85.4526,22.9182,148.9572,NA,N,Crab SL
Crab,10502010003,A,Crab_sl_PA150,2.03573E+04,85.4471,22.9163,149.0412,,N,Crab SL
Crab,10502010003,B,Crab_sl_PA150,2.03573E+04,85.4471,22.9163,149.0412,NA,N,Crab SL
Crab,10602003002,A,Crab_sl_PA330,3.24104E+04,81.858,21.1239,331.0029,,N,Crab SL
Crab,10602003002,B,Crab_sl_PA330,3.24104E+04,81.858,21.1239,331.0029,NA,N,Crab SL
Crab,10602003004,A,Crab_sl_PA330,1.47601E+04,81.855,21.1255,330.9808,,N,Crab SL
Crab,10602003004,B,Crab_sl_PA330,1.47601E+04,81.855,21.1255,330.9808,NA,N,Crab SL
Crab,30460020002,A,1RXS_J052523d2p241331,5.87853E+04,81.3161,24.1921,330.7479,0,Y,Strong SL
Crab,30460020002,B,1RXS_J052523d2p241331,5.87853E+04,81.3161,24.1921,330.7479,0,N,Strong
Crab GR,10610007002,A,Crab_PA330_GR07,1.01261E+04,83.6029,21.8872,329.6647,,N,Crab Ghost-rays
Crab GR,10610007002,B,Crab_PA330_GR07,1.01261E+04,83.6029,21.8872,329.6647,NA,N,Crab Ghost-rays
Crab GR,10610010001,A,Crab_PA330_GR10,1.89185E+04,83.5945,21.838,329.6928,,N,Crab Ghost-rays
Crab GR,10610010001,B,Crab_PA330_GR10,1.89185E+04,83.5945,21.838,329.6928,NA,N,Crab Ghost-rays
Crab GR,10610015001,A,Crab_PA330_GR15,7.25652E+03,83.5999,21.7521,329.6512,,N,Crab Ghost-rays
Crab GR,10610015001,B,Crab_PA330_GR15,7.25652E+03,83.5999,21.7521,329.6512,NA,N,Crab Ghost-rays
Crab GR,10610020001,A,Crab_PA330_GR20,1.87744E+04,83.5982,21.6668,329.6272,,N,Crab Ghost-rays
Crab GR,10610020001,B,Crab_PA330_GR20,1.87744E+04,83.5982,21.6668,329.6272,NA,N,Crab Ghost-rays
Crab GR,10610025001,A,Crab_PA330_GR25,2.10017E+04,83.5951,21.5877,329.6688,,N,Crab Ghost-rays
Crab GR,10610025001,B,Crab_PA330_GR25,2.10017E+04,83.5951,21.5877,329.6688,NA,N,Crab Ghost-rays
Crab GR,10610030001,A,Crab_PA330_GR30,1.88507E+04,83.5995,21.5,329.5959,2,N,Crab GR
Crab GR,10610030001,B,Crab_PA330_GR30,1.88507E+04,83.5995,21.5,329.5959,0,N,Crab GR
Crab GR,10610035001,A,Crab_PA330_GR35,2.14786E+04,83.601,21.4209,329.6123,2,N,Crab GR
Crab GR,10610035001,B,Crab_PA330_GR35,2.14786E+04,83.601,21.4209,329.6123,0,N,Crab GR
Cyg X-1,10402007001,A,Cyg_X1_sl_PA165,2.00996E+04,301.8074,35.6946,163.8669,0,N,Cyg X-1 SL
Cyg X-1,10402007001,B,Cyg_X1_sl_PA165,2.00996E+04,301.8074,35.6946,163.8669,0,N,Cyg X-1 SL
Cyg X-1,30401003002,B,IGR_J20063p3641,3.56827E+04,301.6156,36.7023,173.2923,0,Y,"Weak in A, strong in B"
Cyg X-1,90501328002,A,4U_1954p31,4.07912E+04,298.9181,32.1346,110.4676,1,Y,"PSF bleed, SL on FPMA only (edge)"
Cyg X-3,30001044002,A,BDp43_3654,1.05106E+05,308.3903,43.9655,330.7691,1,Y,Strong SL
Cyg X-3,30001044002,A,BDp43_3654,1.05106E+05,308.3903,43.9655,330.7691,X,Y,"SL on A, elevated bgd on B?"
Cyg X-3,30001044004,A,BDp43_3654,9.86267E+04,308.3643,43.965,330.5941,1,Y,Strong SL
Cyg X-3,30101004002,A,WR140,2.00233E+04,305.0954,43.8671,88,0,Y,Sliver of corner in both
Cyg X-3,30101004002,B,WR140,2.00233E+04,305.0954,43.8671,87.8361,0,Y,Sliver of corner in both
Cyg X-3,30202002002,B,WR140,1.93146E+04,305.1146,43.8886,104.191,1,Y,Corner SL in B
Cyg X-3,30202027002,A,WR_140,2.18360E+04,305.1085,43.8337,293.571,2,Y,Tiny Corner SL on A
Cyg X-3,30202027004,A,WR_140,2.37646E+04,305.1204,43.8352,273.0682,0,Y,Corner SL on A
Cyg X-3,30202027006,A,WR_140,1.94638E+04,305.1302,43.8346,256.4712,1,Y,Tiny Corner SL on A
Cyg X-3,30364002002,A,PSR_J2022p3842,2.80003E+04,305.6075,38.6712,252.8111,1,Y,Strong SL (both FPMs)
Cyg X-3,30364002002,B,PSR_J2022p3842,2.80003E+04,305.6075,38.6712,252.8111,1,Y,Single
Cyg X-3,60061297002,A,IGRJ20187p4041,2.09675E+04,304.671,40.6467,277.7051,2,Y,Strong Sl
Cyg X-3,60061297002,B,IGRJ20187p4041,2.09675E+04,304.671,40.6467,277.7051,0,Y,Single
Cyg X-3,60061298002,A,IGRJ20216p4359,2.11002E+04,305.41,43.9923,350.2633,0,Y,Tiny SL on edge of both
Cyg X-3,60061298002,B,IGRJ20216p4359,2.11002E+04,305.41,43.9923,350.2633,0,Y,Tiny SL on edge of both
Cyg X-3,90201029002,A,EXO_2030p375,5.67410E+04,308.0328,37.6549,67.3069,0,Y,Edge of FoV SL
EXO 1846-031,90501347002,A,Swift_J1845d7m0037,2.35173E+04,281.4532,-0.7012,323.6458,0,N,Strong SL. New source?
EXO 2030+375,30001048002,A,Sh2_104_TeV,7.65776E+04,304.4042,36.7791,330.2643,1,Y,"Edge of FoV on both, strong"
EXO 2030+375,30001048002,B,Sh2_104_TeV,7.65776E+04,304.4042,36.7791,330.2643,0,Y,Edge SL in both
Faint,30001014002,B,IC10_X1,8.85718E+04,5.0742,59.2736,15.7929,0,Y,"Maybe faint, SL?"
Faint,30001025012,A,1E1841m045,1.00675E+05,280.3167,-4.9627,333.7221,1,Y,"Faint, doesn't look like CXB?"
Faint,30001043002,A,QZ_Car,1.01712E+05,161.1352,-59.9594,133.3503,2,N,Maybe? Gradient looks off 
Faint,30001045002,A,HESSJ1834m087_TeV,5.95558E+04,278.6712,-8.7223,147.3377,1,Y,Faint SL?
Faint,30001045004,A,HESSJ1834m087_TeV,4.87031E+04,278.6688,-8.7246,146.4963,1,Y,Faint SL?
Faint,30001045006,A,HESSJ1834m087_TeV,5.96012E+04,278.6604,-8.7155,143.1632,1,Y,Faint SL?
Faint,30001140002,A,IGRJ18214m1318,2.62905E+04,275.3068,-13.3388,334.1677,0,Y,Faint SL?
Faint,30002017002,B,PSRB1259m63,3.08040E+04,195.7434,-63.8478,259.6945,1,Y,Edge of FoV?
Faint,30002021009,A,HESSJ1640m465,3.36925E+04,250.2175,-46.5087,166.7254,1,Y,"Faint on A, corner of FoV on B"
Faint,30002021011,A,HESSJ1640m465,2.25405E+04,250.2296,-46.5011,179.7925,1,Y,"Faint on A, corner of FoV on B"
Faint,30002021013,A,HESSJ1640m465,2.21989E+04,250.1923,-46.5267,227.3736,0,Y,"Faint, if anything. Not including."
Faint,30002021040,A,HESSJ1640m465,5.23318E+04,250.2194,-46.5218,210.0984,1,Y,"Multiple SL on B, maybe on A"
Faint,30002021042,A,HESSJ1640m465,4.91444E+04,250.1787,-46.5547,299.4391,0,Y,"Faint, if anything. Not including."
Faint,30002034006,A,HolmbergIX_X1,4.96078E+04,149.4038,69.0677,18.1404,2,N,Faint SL?
Faint,30002034008,A,HolmbergIX_X1,5.67023E+04,149.3901,69.0381,347.2785,0,N,Odd background shape
Faint,30002034008,B,HolmbergIX_X1,5.67023E+04,149.3901,69.0381,347.2785,0,N,Odd background shape
Faint,30101036002,A,IGR_J16418m4532,4.05776E+04,250.4252,-45.5572,350,0,Y,"Complex, full FoV, un-ID'd in B"
Faint,30101036002,B,IGR_J16418m4532,4.05776E+04,250.4252,-45.5572,349.8383,0,Y,Lots of SL in both (CHECK A)
Faint,30101044002,A,PSR_J1813m1246,5.58480E+04,273.362,-12.7399,144.4841,0,Y,"Odd background pattern, prob SL or GR"
Faint,30101044002,B,PSR_J1813m1246,5.58480E+04,273.362,-12.7399,144.4841,1,Y,Complex
Faint,30161003004,B,IGRJ10447m6027,4.64888E+04,161.2572,-60.3978,158.6398,0,Y,Faint SL on both?
Faint,30201011002,B,MV_Lyr,2.90345E+04,286.7875,44.0404,72.6277,2,N,Faint on B
Faint,30301026002,B,AX_J1841d0m0536,5.43115E+04,280.2259,-5.627,326.2263,1,Y,Weak SL?
Faint,30301029002,B,LMC_P3,7.80372E+04,84.002,-67.5591,104.7325,2,N,Faint LMC SL
Faint,30361002004,B,SXP_15d3,5.83512E+04,13.1412,-73.3495,263.2395,1,N,"SL on A, faint on B?"
Faint,30364003002,B,PSR_J1813m1749,2.65098E+04,273.4203,-17.8097,152.9763,0,Y,"Faint, if at all"
Faint,30402001004,A,HD_93129A,3.30754E+04,160.9376,-59.5351,52.2356,2,N,Maybe? Shape looks wrong.
Faint,30402001004,B,HD_93129A,3.30754E+04,160.9376,-59.5351,52.2356,2,N,Faint edge of FoV in both
Faint,30460025002,A,IGR_J08390m4833,5.52390E+04,129.7338,-48.5425,259.1169,0,Y,Faint?
Faint,30460025002,B,IGR_J08390m4833,5.52390E+04,129.7338,-48.5425,259.1169,0,Y,"Faint, if any"
Faint,30501001002,B,HD110432,1.06453E+05,190.6524,-63.0793,1.7519,0,Y,Faint on B?
Faint,40001015002,A,G1d9p0d3,8.91396E+03,267.1784,-27.2197,327.3478,1,Y,Over full FoV?
Faint,40001015003,B,G1d9p0d3,8.53974E+04,267.1728,-27.2067,327.3124,2,Y ,Over full FoV?
Faint,40001015005,B,G1d9p0d3,1.21642E+05,267.1756,-27.2056,327.3404,2,Y,Over full FoV?
Faint,40301003002,B,W44,5.35699E+04,283.9566,1.3619,163.8373,2,Y,Faint?
Faint,40301004002,A,KES_75,9.52718E+04,281.5856,-3.0002,335.5333,0,Y,"Not much on A, maybe on B "
Faint,50311003002,A,SMC_Deep_MOS03,1.72390E+05,13.2635,-72.4877,91.2839,0,N,"Multiple point sources, maybe SL?"
Faint,60001047003,A,MCGm6m30m15,1.27232E+05,204.0085,-34.2861,180.2894,2,N,Faint unidentified SL on A
Faint,60001102004,A,1H0707m495,4.88819E+04,107.1213,-49.5473,37.3295,0,N,Maybe edge of FoV? Not including.
Faint,60061268002,A,LEDA2801977,1.88801E+04,240.3925,-61.1422,20.3941,0,Y,"SL+GR, unidentified"
Faint,60160632002,B,WKK6092,2.20521E+04,243.0087,-60.6253,208.3945,0,Y,"Arc of SL, unident"
Faint,60160690002,A,3C380,1.96098E+04,277.4133,48.7776,159.4546,0,N,Faint?
Faint,60160690002,B,3C380,1.96098E+04,277.4133,48.7776,159.4546,0,N,Faint?
Faint,60201051002,A,NGC_4579,1.17843E+05,189.4611,11.8247,182.84,1,N,Faint? Backgorund gradient looks weird.
Faint,60201051002,B,NGC_4579,1.17843E+05,189.4611,11.8247,182.84,1,N,Edge of FoV SL in both?
Faint,60402008004,B,SWIFT_J2127d4p5654,7.15676E+04,321.9065,56.9703,88.7764,2,N,Faint?
Faint,60463061002,B,IGRJ17476m2253,2.60974E+04,266.8978,-22.8551,155.6305,1,Y,Weak SL on B
Faint,80001041002,B,IGRJ17091m3624,4.32934E+04,257.3146,-36.3924,159.0663,1,Y,SL on both (second?)
Faint,80102048010,A,PSR_J1119m6127,9.43035E+04,169.8591,-61.4473,166.8776,2,Y,Edge unidentified source on A
Faint,80102048010,B,PSR_J1119m6127,9.43035E+04,169.8591,-61.4473,166.8776,1,Y,"SL on FPMA, maybe a littel on B"
Faint,80202014002,A,IGRJ17091m3624,2.02379E+04,257.3126,-36.3925,160.3321,1,Y,"Maybe SL, but doesn't match."
Faint,80202014002,B,IGRJ17091m3624,2.02379E+04,257.3126,-36.3925,160.3321,2,Y,Maybe SL?
Faint,80202014004,A,IGRJ17091m3624,2.06981E+04,257.3111,-36.3908,160.8695,1,Y,"Maybe SL, but doesn't match."
Faint,80202014004,B,IGRJ17091m3624,2.06981E+04,257.3111,-36.3908,160.8695,2,Y,Maybe SL?
Faint,80202051002,A,PSR_J1622m4950,5.27856E+04,245.7321,-49.8498,211.008,1,Y,"Only A? Faint SL, overlapping"
Faint,80202051002,B,PSR_J1622m4950,5.27856E+04,245.7321,-49.8498,211.008,2,Y,Faint
Faint,90501309002,A,Swift_J1858d6m0814,3.76013E+04,284.6636,-8.2016,151.328,0,Y,"Faint, if present"
Faint,90501309002,B,Swift_J1858d6m0814,3.76013E+04,284.6636,-8.2016,151.328,0,Y,Faint if present
GR,10402003002,B,Crab_bkgd_PA330,1.92326E+04,83.1538,21.5296,330.5875,1,N,GR (from Crab?)
GR,10502003002,B,Crab_bkgd_PA330,2.82647E+04,83.1438,21.5151,329.6554,1,N,SL/GR in both
GR,30001012002,B,NuSTARJ163433m473841,1.65999E+04,248.6712,-47.6363,171.983,1,Y,GR + multiple SL
GR,30101049002,A,IGR_J18027m2016,3.98050E+04,270.6533,-20.3166,335.8584,,Y,Ghost rays
GR,30101049002,B,IGR_J18027m2016,3.98050E+04,270.6533,-20.3166,335.8584,NA,Y,Ghost rays
GR,30301010002,A,IGRJ11215m5952,4.37181E+04,170.3569,-59.873,355.1149,1,Y,Streak? Probably Cen X-3
GR,30301010002,B,IGRJ11215m5952,4.37181E+04,170.3569,-59.873,355.1149,2,Y,Streak! in both
GR,30302002002,A,PSR_J2032p4127,3.78434E+04,308.0375,41.4307,332.2434,0,Y,Ghost rays
GR,30302002002,B,PSR_J2032p4127,3.78434E+04,308.0375,41.4307,332.2434,1,Y,Ghost Rays
GR,30302002004,B,PSR_J2032p4127,4.27052E+04,308.0371,41.4313,314.3536,2,Y,GR (Cyg X-3)
GR,30302002006,A,PSR_J2032p4127,4.15318E+04,308.0493,41.4251,295.7072,1,Y,Ghost rays + SL (cool one)
GR,30302002006,B,PSR_J2032p4127,4.15318E+04,308.0493,41.4251,295.7072,1,Y,GR
GR,30401017002,A,PSR_J1709m4429,4.31347E+04,257.4219,-44.5206,314.9067,0,Y,Ghost rays + SL on B
GR,30402028002,A,IGR_J16479m4514,2.18623E+04,252.0537,-45.1713,172.5606,1,N,Strong Ghost Rays + Streak 
GR,30402028002,B,IGR_J16479m4514,2.18623E+04,252.0537,-45.1713,172.5606,1,N,Ghost Rays and Streak
GR,30402028004,A,IGR_J16479m4514,3.12333E+04,252.0626,-45.1748,176.1827,1,N,Strong Ghost Rays + Streak 
GR,30402028004,B,IGR_J16479m4514,3.12333E+04,252.0626,-45.1748,176.1827,2,N,Ghost Rays and Streak
GR,30410001002,B,CYG_OB2_8A_POS1,5.06438E+04,308.2859,41.3047,34.4216,1,N,Ghost rays
GR,30410002002,A,CYG_OB2_8A_POS2,5.00293E+04,308.2431,41.2941,34.449,0,N,Ghost Rays
GR,30410002002,B,CYG_OB2_8A_POS2,5.00293E+04,308.2431,41.2941,34.449,1,N,Ghost Rays
GR,40014001001,B,Norma_MOS001,1.84066E+04,248.4829,-47.7203,160.1494,0,Y,Ghost rays + SL
GR,40014001001,A,Norma_MOS001,1.84066E+04,248.4829,-47.7203,160.1494,0,Y,Mostly GR
GR,40014002001,A,Norma_MOS002,1.94974E+04,248.3623,-47.6443,160.1471,,Y,Ghost rays
GR,40014002001,B,Norma_MOS002,1.94974E+04,248.3623,-47.6443,160.1471,0,Y,Ghost rays + SL
GR,40014003001,B,Norma_MOS003,2.08461E+04,248.2407,-47.5668,160.1266,0,Y,Ghost rays + SL
GR,40014003001,A,Norma_MOS003,2.08461E+04,248.2407,-47.5668,160.1266,,Y,Mostly GR
GR,40014004001,B,Norma_MOS004,1.94400E+04,248.5977,-47.6373,160.1231,0,Y,Ghost rays + SL
GR,40014004001,A,Norma_MOS004,1.94400E+04,248.5977,-47.6373,160.1231,,Y,Mostly GR
GR,40014005001,A,Norma_MOS005,2.12413E+04,248.4775,-47.5621,160.1304,,Y,Mostly GR
GR,40014005001,B,Norma_MOS005,2.12413E+04,248.4775,-47.5621,160.1304,NA,Y,Mostly GR
GR,40014006001,A,Norma_MOS006,1.89587E+04,248.3529,-47.4867,160.1393,,Y,Mostly GR
GR,40014006001,B,Norma_MOS006,1.89587E+04,248.3529,-47.4867,160.1393,NA,Y,Mostly GR
GR,40014007001,B,Norma_MOS007,2.26399E+04,248.7099,-47.5553,160.135,0,Y,Ghost rays + SL
GR,40014007001,A,Norma_MOS007,2.26399E+04,248.7099,-47.5553,160.135,,Y,SL and ghost rays
GR,40111002002,A,RXJ1713d7m3946_NW_P2,5.73573E+04,257.9298,-39.5749,165.5761,0,Y,4U 1700 + edge streak
GR,80001046002,A,IGRJ17454m2919,2.94087E+04,266.3387,-29.3549,337.8242,1,Y,Ghost rays (SL on FPMB)
GR,80201050002,A,CXO_J164710d2m455216,1.91433E+04,251.83,-45.8814,227.9702,2,Y,Ghost rays
GR,80201050002,B,CXO_J164710d2m455216,1.91433E+04,251.83,-45.8814,227.9702,1,Y,Ghost rays
GR,80201050004,A,CXO_J164710d2m455216,2.40293E+04,251.8031,-45.9136,276.6092,0,N,Ghost Rays
GR,80201050004,B,CXO_J164710d2m455216,2.40293E+04,251.8031,-45.9136,276.6092,0,Y,Ghost rays
GR,80201050006,A,CXO_J164710d2m455216,2.39374E+04,251.7831,-45.9084,313.8015,0,N,Ghost Rays
GR,80201050006,B,CXO_J164710d2m455216,2.39374E+04,251.7831,-45.9084,313.8015,0,Y,Ghost rays
GR,80201050008,A,CXO_J164710d2m455216,3.97175E+04,251.8187,-45.8543,159.0077,0,Y,Ghost rays
GR,80201050008,B,CXO_J164710d2m455216,3.97175E+04,251.8187,-45.8543,159.0077,0,Y,Ghost rays
GR,80202015004,A,IGRJ17091m3624,3.63401E+04,257.3045,-36.4035,204.4454,0,Y,Streak + full FoV?
GR,80202015004,B,IGRJ17091m3624,3.63401E+04,257.3045,-36.4035,204.4454,2,Y,Streak
GR,90201020002,A,COm0d4m0d22,9.35283E+04,266.3557,-29.4081,336.0053,2,Y,Multiple sources in FoV + SL on FPMB
GR,90201020002,B,COm0d4m0d22,9.35283E+04,266.3557,-29.4081,336.0053,1,Y,Multiple sources + GR
GR,90201036002,A,PSR_J2032p4127,4.55584E+04,307.9987,41.4533,15.8119,1,Y,Ghost rays
GR,90201036002,B,PSR_J2032p4127,4.55584E+04,307.9987,41.4533,15.8119,1,Y,Ghost Rays
GR,90302321002,A,PSR_J2032p4127,3.98266E+04,308.0297,41.4278,320.8506,2,Y,Ghost Rays
GR,90302321002,B,PSR_J2032p4127,3.98266E+04,308.0297,41.4278,320.8506,0,Y,Ghost rays (Cyg X-3?)
GR,90302321004,A,PSR_J2032p4127,4.00031E+04,308.0475,41.4336,306.9602,0,Y,Ghost Rays
GR,90302321004,B,PSR_J2032p4127,4.00031E+04,308.0475,41.4336,306.9602,0,Y,Ghost rays
GR,90401373002,A,AX_J1631d9m4752,2.32218E+03,248.029,-47.8053,117.7571,,N,Sources at edge of FoV
GR,90401373002,B,AX_J1631d9m4752,2.32218E+03,248.029,-47.8053,117.7571,NA,,Sources at edge of FoV
GRS 1758-258,40001015003,B,G1d9p0d3,8.53974E+04,267.1728,-27.2067,327.3124,2,Y ,On Edge
GRS 1758-258,40001015005,B,G1d9p0d3,1.21642E+05,267.1756,-27.2056,327.3404,1,Y,On edge
GRS 1915+105,30101050002,A,4U_1909p07,4.13438E+04,287.6857,7.6139,77.5836,0,Y,Corner of FoV
GRS 1915+105,30201013002,A,SGR_1900p14,1.22617E+05,286.7891,9.3079,321.6725,,Y,Single
GRS 1915+105,30201013002,B,SGR_1900p14,1.22617E+05,286.7891,9.3079,321.6725,NA,Y,"Single, both FPMs"
GRS 1915+105,30401018002,B,4U_1907p09,7.88598E+04,287.3659,9.8237,23.1147,0,Y,Strong SL (weak in A)
GRS 1915+105,30402026002,A,4U_1909p07,1.88310E+04,287.7144,7.6283,140.854,0,N,"Corner SL (Doesn't match, prob GRS 1915)"
GRS 1915+105,30402026004,A,4U_1909p07,2.33068E+04,287.7067,7.6299,138.7475,0,N,"Corner SL (Doesn't match, prob GRS 1915)"
GRS 1915+105,40301001002,A,W49B,1.25634E+05,287.8303,9.1701,158.4709,,Y,Single
GRS 1915+105,80001014002,A,XTEJ1908p094,4.51468E+04,287.1817,9.3307,311.4228,1,Y,Single source
GRS 1915+105,80001014002,B,XTEJ1908p094,4.51468E+04,287.1817,9.3307,311.4228,1,Y,Strong SL
GRS 1915+105,90501317002,A,XTE_J1908p094,4.08021E+04,287.2352,9.4155,146.4973,1,Y,Strong SL
GS 1716-249,70301002002,A,Ophiuchus_Cluster,1.10525E+05,258.158,-23.4319,338.0651,1,Y,Extended + SL
GS 1716-249,70301002002,B,Ophiuchus_Cluster,1.10525E+05,258.158,-23.4319,338.0651,0,Y,Extended source + SL
GS 1826-24,10202005002,A,PSR_B1821m24,1.56507E+05,276.1446,-24.8264,152.8129,1,Y,Sliver of SL on FPMA
GS 1826-24,10202005004,B,PSR_B1821m24,1.56543E+05,276.116,-24.8911,332.0066,0,Y,Strong on B
GS 1826-24,30101053002,A,PSR_B1821m24,1.31325E+05,276.1442,-24.8077,165.5321,1,Y,Slice of SL (bad match)
GS 1826-24,30101053004,A,PSR_B1821m24,5.15245E+04,276.1515,-24.8004,165.5059,2,Y,Slice of SL (bad match)
GS 1826-24,60160692002,B,PKS1830m21,2.18785E+04,278.4417,-21.0357,150.5466,0,Y,Strong source
GS 1826-24,80002012002,A,V4641_Sgr,2.40454E+04,274.8958,-25.3668,150.4689,1,Y,Strong SL
GS 1826-24,80002012004,A,V4641_Sgr,2.64205E+04,274.8541,-25.3821,153.5824,1,Y,Strong SL
GS 1826-24,80460628002,B,PKS1830m211,4.13890E+04,278.4356,-21.0335,151.6606,1,N,Strong SL (B only)
GS 1826-24,90102011002,A,V4641_Sgr,30652.5136,274.8194,-25.444, 330.8686,3, N, Edge SL in both
GS 1826-24,90102011002,B,V4641_Sgr,30652.5136,274.8194,-25.444, 330.8686,3, N, Edge SL in both
GX 1+4,30601007002,A,SLX_1735m269,3.10348E+04,264.5893,-26.9601,158.9162,2,N,Strong
GX 1+4,40001020002,A,Kepler,2.46071E+05,262.6515,-21.5035,336.1795,0,Y,"Extended source, edge Sl on A"
GX 1+4,90201021002,B,Kepler,1.26668E+05,262.6953,-21.4835,158.1508,2,Y,Sliver of SL in B
GX 1+4,90201021004,B,Kepler,5.12962E+04,262.6853,-21.4422,156.0794,0,Y,"Second point source, edge SL"
GX 1+4,90201021006,A,Kepler,5.44722E+04,262.6367,-21.5485,336.3852,1,Y,"Extended source, edge Sl on A"
GX 1+4,90201021010,A,Kepler,4.68779E+04,262.6131,-21.5578,6.2795,0,Y,Edge of FoV on both
GX 1+4,90201021010,B,Kepler,4.68779E+04,262.6131,-21.5578,6.2795,0,Y,Edge of FoV SL
GX 13+1,30102038002,A,SGR_1806m20,3.32443E+04,272.1793,-20.3885,152.164,0,Y,Mostly first source
GX 13+1,30102038006,B,SGR_1806m20,3.11802E+04,272.1569,-20.4304,335.8582,0,Y,Corner (GX 13+1) and unident on B
GX 13+1,30102038007,B,SGR_1806m20,1.10170E+04,272.1394,-20.4009,329.9004,0,Y,Corner (GX 13+1) and unident on B
GX 13+1,30501023002,B,XTE_J1810m197,9.56642E+04,272.4472,-19.755,333.6642,0,N,Strong SL
GX 13+1,30501023004,B,XTE_J1810m197,4.32933E+04,272.4536,-19.7529,333.4346,0,N,Strong SL
GX 13+1,40101012002,A,G11d2m0d3,3.01320E+04,272.7866,-19.3273,88.5961,0,Y,Two sources
GX 13+1,40101012004,B,G11d2m0d3,3.53405E+04,272.7847,-19.327,72.0415,0,Y,Two SL sources
GX 13+1,80002014002,B,SwiftJ1808d4m1754,4.25000E+04,272.1075,-17.8786,138.7738,0,Y,"Strong SL on both, plus second"
GX 13+1,80402308002,B,Swift_J1818d0m1607,2.21174E+04,274.5288,-16.1004,153.7364,0,N,Slice SL
GX 13+1,80402308004,B,Swift_J1818d0m1607,5.91117E+04,274.5168,-16.1028,151.3315,0,N,Slice SL
GX 13+1,80402308006,B,Swift_J1818d0m1607,4.22079E+04,274.5068,-16.0943,147.0004,0,N,Slice SL
GX 13+1,80402308008,A,Swift_J1818d0m1607,2.35045E+04,274.5191,-16.1509,33.4627,0,N,"Multiple SL, more in FPMB, mismatch model"
GX 13+1,80402320002,B,SGR_1806m20,3.99171E+04,272.1367,-20.4465,328.9959,0,Y,"Multiple, whole FoV, unident"
GX 13+1,90201027002,B,G11d2m0d3,9.09432E+04,272.8447,-19.41,67.5242,1,Y,"Two sources, weight pattern"
GX 17+2,30201034002,B,LS_5039,1.78093E+05,276.5362,-14.8686,335.9891,1,Y,Strong SL
GX 17+2,30301025002,A,SAX_J1818d6m1703,5.35343E+04,274.6877,-17.0232,155.9915,1,Y,Edge SL
GX 17+2,30364004002,A,PSR_J1826m1334,5.18455E+04,276.5281,-13.6104,328.2168,1,Y,Single SL
GX 17+2,40501006002,A,PSR_J1826m1256,7.64588E+04,276.5215,-12.9688,326.49,2,N,Strong SL
GX 17+2,60160680002,A,2MASXiJ1802473m145454,1.99603E+04,270.7126,-14.889,147.0207,0,Y,Edge of FoV SL
GX 17+2,80402308002,A,Swift_J1818d0m1607,2.21174E+04,274.5288,-16.1004,153.7364,0,N,Both FPMs
GX 17+2,80402308004,A,Swift_J1818d0m1607,5.91117E+04,274.5168,-16.1028,151.3315,0,N,Both FPMs
GX 17+2,80402308006,A,Swift_J1818d0m1607,4.22079E+04,274.5068,-16.0943,147.0004,0,N,Both FPMs
GX 17+2,80402308008,B,Swift_J1818d0m1607,2.35045E+04,274.5191,-16.1509,33.4627,0,N,Strong SL (GX 13+1 on FPMA)
GX 17+2,80402308010,B,Swift_J1818d0m1607,1.22491E+04,274.4647,-16.1622,25.2392,0,N,Strong SL
GX 17+2,90201049002,A,Swift_J1816d7m1613,5.03980E+04,274.2032,-16.1999,156.3774,0,Y,Single
GX 17+2,90301009002,B,SwiftJ181723d1m164300,3.59835E+04,274.33,-16.7455,340.8917,2,Y,Strong source + secondary on FPMA
GX 17+2,90601309002,A,IGR_J18219m1347,2.32337E+04,275.5045,-13.7591,153.7891,2,N,"Strong SL (more on FPMB), mismatch pattern"
GX 17+2,90601309002,B,IGR_J18219m1347,2.32337E+04,275.5045,-13.7591,153.7891,0,N,Strong SL
GX 17+2,90601311002,A,SwiftJ182404d3m135836,4.14336E+04,276.0327,-13.9455,150.7786,0,N,Both FPMs
GX 17+2,90601311002,B,SwiftJ182404d3m135836,4.14336E+04,276.0327,-13.9455,150.7786,0,N,Strong source
GX 17+2,90601320002,A,SGPS_J181830m163114,1.90411E+04,274.611,-16.4982,126.0512,1,N,Strong SL
GX 3+1,10002012001,A,1E1740d7m2942,1.09685E+04,265.9415,-29.7686,315.7245,1,Y,GX 3+1
GX 3+1,10002012001,B,1E1740d7m2942,1.09685E+04,265.9415,-29.7686,315.7245,2,Y,Corner SL
GX 3+1,10002021001,B,1E1740d7m2942,2.17200E+03,265.9379,-29.7737,331.1437,0,Y,"Strong Sl on B, corner"
GX 3+1,10002021003,B,1E1740d7m2942,6.12527E+03,265.9569,-29.728,335.2775,0,Y,"Strong Sl on B, corner"
GX 3+1,30002003002,B,IGRJ17544m2619,1.75332E+04,268.6405,-26.3549,229.9203,0,Y,Multiple overlapping sources
GX 3+1,30002003003,B,IGRJ17544m2619,2.62385E+04,268.6255,-26.3695,240.8626,2,Y,Strong SL
GX 3+1,30401030002,A,GRS_1758m258,4.20413E+04,270.2845,-25.7655,334.5367,2,N,Edge SL
